raw_value,normalized_value
Mendza,Mendoza
Brasila,Brasilia
Cartagna,Cartagena
Lma,Lima
Paysand,Paysandu
Guadalajra,Guadalajara
Rivra,Rivera
Arequpa,Arequipa
Rio de Janero,Rio de Janeiro
Tucman,Tucuman
Medelin,Medellin
Barranquila,Barranquilla
Trujllo,Trujillo
Bogta,Bogota
Salvdor,Salvador
Cai,Cali
Monterry,Monterrey
Buenos Aire,Buenos Aires
Concepcin,Concepcion
Piua,Piura
Cusc,Cusco
Sao Paulp,Sao Paulo
Fortalza,Fortaleza
Rosaro,Rosario
Tijana,Tijuana
Puebl,Puebla
Santiag,Santiago
Cordba,Cordoba
Montevide,Montevideo
La Serna,La Serena
Saltp,Salto
Maldonad,Maldonado
Ciudd de Mexico,Ciudad de Mexico
Temco,Temuco
